Filename,Additional Info,Target Directory
TRT00011857,C. intersubgeneric hybrid|C. sect. Coccineae × C. sect. Crataegus|C. ser. Punctatae × C. ser. Crataegus,Crataegus ×grignonensis Mouillefert ex Anonymous (= Crataegus mexicana Moc. & Sessé ex DC. × C. monogyna Jacq.)
TRT00011852,C. intersubgeneric hybrid|C. sect. Coccineae × C. sect. Crataegus|C. ser. Punctatae × C. ser. Crataegus,Crataegus ×grignonensis Mouillefert ex Anonymous (= Crataegus mexicana Moc. & Sessé ex DC. × C. monogyna Jacq.)
TRT00011853,C. intersubgeneric hybrid|C. sect. Coccineae × C. sect. Crataegus|C. ser. Punctatae × C. ser. Crataegus,Crataegus ×grignonensis Mouillefert ex Anonymous (= Crataegus mexicana Moc. & Sessé ex DC. × C. monogyna Jacq.)
TRT00011855,C. intersubgeneric hybrid|C. sect. Coccineae × C. sect. Crataegus|C. ser. Punctatae × C. ser. Crataegus,Crataegus ×grignonensis Mouillefert ex Anonymous (= Crataegus mexicana Moc. & Sessé ex DC. × C. monogyna Jacq.)
TRT00011856,C. intersubgeneric hybrid|C. sect. Coccineae × C. sect. Crataegus|C. ser. Punctatae × C. ser. Crataegus,Crataegus ×grignonensis Mouillefert ex Anonymous (= Crataegus mexicana Moc. & Sessé ex DC. × C. monogyna Jacq.)
TRT00011854,C. intersubgeneric hybrid|C. sect. Coccineae × C. sect. Crataegus|C. ser. Punctatae × C. ser. Crataegus,Crataegus ×grignonensis Mouillefert ex Anonymous (= Crataegus mexicana Moc. & Sessé ex DC. × C. monogyna Jacq.)
TRT00013091,C. intersubgeneric hybrid|C. sect. Coccineae × C. sect. Crataegus|C. ser. Punctatae × C. ser. Crataegus,Crataegus ×grignonensis Mouillefert ex Anonymous (= Crataegus mexicana Moc. & Sessé ex DC. × C. monogyna Jacq.)
TRT00013092,C. intersubgeneric hybrid|C. sect. Coccineae × C. sect. Crataegus|C. ser. Punctatae × C. ser. Crataegus,Crataegus ×grignonensis Mouillefert ex Anonymous (= Crataegus mexicana Moc. & Sessé ex DC. × C. monogyna Jacq.)
TRT00002115,C. intersubgeneric hybrid|C. intersectional hybrid|C. ser. Cerrones × C. ser. Macracanthae,Crataegus erythropoda Ashe × C. macracantha Lodd. ex Loudon (?)
TRT00002138,C. intersubgeneric hybrid|C. intersectional hybrid|C. ser. Cerrones × C. ser. Macracanthae,Crataegus erythropoda Ashe × C. macracantha Lodd. ex Loudon (?)
TRT00002139,C. intersubgeneric hybrid|C. intersectional hybrid|C. ser. Cerrones × C. ser. Macracanthae,Crataegus erythropoda Ashe × C. macracantha Lodd. ex Loudon (?)
TRT00011964,C. intersubgeneric hybrid|C. intersectional hybrid|C. ser. Crataegus × C. ser. Macracanthae,Crataegus ×mordenensis Boom cv. 'toba' (= Crataegus ×media Bechstein × C. succulenta Schrader ex Link)
TRT00011965,C. intersubgeneric hybrid|C. intersectional hybrid|C. ser. Crataegus × C. ser. Macracanthae,Crataegus ×mordenensis Boom cv. 'toba' (= Crataegus ×media Bechstein × C. succulenta Schrader ex Link)
TRT00011966,C. intersubgeneric hybrid|C. intersectional hybrid|C. ser. Crataegus × C. ser. Macracanthae,Crataegus ×mordenensis Boom cv. 'toba' (= Crataegus ×media Bechstein × C. succulenta Schrader ex Link)
TRT00011967,C. intersubgeneric hybrid|C. intersectional hybrid|C. ser. Crataegus × C. ser. Macracanthae,Crataegus ×mordenensis Boom cv. 'toba' (= Crataegus ×media Bechstein × C. succulenta Schrader ex Link)
